Date,Open,High,Low,Close,Adj Close,Volume
2024-05-09,1.300000,1.360000,1.290000,1.340000,1.340000,8411600
2024-05-10,1.340000,1.360000,1.300000,1.310000,1.310000,6812700
2024-05-13,1.300000,1.320000,1.250000,1.250000,1.250000,11383000
2024-05-14,1.270000,1.370000,1.260000,1.330000,1.330000,12695700
2024-05-15,1.350000,1.360000,1.270000,1.300000,1.300000,8246900
2024-05-16,1.290000,1.320000,1.270000,1.310000,1.310000,7090100
2024-05-17,1.310000,1.330000,1.290000,1.320000,1.320000,5174500
2024-05-20,1.310000,1.340000,1.290000,1.300000,1.300000,6075000
2024-05-21,1.300000,1.310000,1.250000,1.260000,1.260000,7522900
2024-05-22,1.260000,1.300000,1.230000,1.290000,1.290000,8451900
2024-05-23,1.280000,1.300000,1.260000,1.290000,1.290000,7567700
2024-05-24,1.280000,1.320000,1.260000,1.270000,1.270000,5703000
2024-05-28,1.270000,1.290000,1.250000,1.280000,1.280000,7843700
2024-05-29,1.270000,1.300000,1.250000,1.290000,1.290000,6977100
2024-05-30,1.270000,1.320000,1.270000,1.280000,1.280000,7269400
2024-05-31,1.280000,1.300000,1.260000,1.290000,1.290000,10732600
2024-06-03,1.280000,1.310000,1.270000,1.290000,1.290000,7083500
2024-06-04,1.290000,1.290000,1.250000,1.260000,1.260000,5730100
2024-06-05,1.260000,1.350000,1.250000,1.330000,1.330000,8147200
2024-06-06,1.310000,1.330000,1.290000,1.310000,1.310000,4127700
2024-06-07,1.300000,1.300000,1.270000,1.270000,1.270000,4157700
2024-06-10,1.270000,1.270000,1.220000,1.220000,1.220000,7333300
2024-06-11,1.230000,1.240000,1.200000,1.230000,1.230000,8192000
2024-06-12,1.250000,1.290000,1.230000,1.230000,1.230000,9504900
2024-06-13,1.230000,1.240000,1.180000,1.190000,1.190000,7346600
2024-06-14,1.180000,1.180000,1.120000,1.130000,1.130000,12092000
2024-06-17,1.140000,1.150000,1.060000,1.080000,1.080000,23526300
2024-06-18,1.090000,1.090000,1.030000,1.070000,1.070000,13235200
2024-06-20,1.050000,1.150000,1.040000,1.110000,1.110000,8135900
2024-06-21,1.160000,1.160000,1.050000,1.070000,1.070000,26801400
2024-06-24,1.070000,1.100000,1.040000,1.050000,1.050000,6596300
2024-06-25,1.050000,1.060000,0.990000,0.990000,0.990000,9340300
2024-06-26,1.010000,1.040000,0.990000,1.000000,1.000000,9976600
2024-06-27,1.010000,1.050000,0.980000,1.030000,1.030000,6923600
2024-06-28,1.030000,1.110000,1.020000,1.100000,1.100000,19231900
2024-07-01,1.050000,1.110000,0.970000,1.110000,1.110000,14582800
2024-07-02,1.080000,1.110000,1.050000,1.070000,1.070000,6500900
2024-07-03,1.060000,1.090000,1.020000,1.040000,1.040000,5298500
2024-07-05,1.020000,1.040000,1.000000,1.030000,1.030000,5504700
2024-07-08,1.020000,1.080000,1.020000,1.060000,1.060000,8277800
2024-07-09,1.050000,1.090000,1.030000,1.060000,1.060000,9409000
2024-07-10,1.060000,1.080000,1.040000,1.050000,1.050000,6929400
2024-07-11,1.070000,1.180000,1.070000,1.160000,1.160000,14646000
2024-07-12,1.160000,1.200000,1.150000,1.180000,1.180000,9521500
2024-07-15,1.200000,1.270000,1.160000,1.210000,1.210000,9483100
2024-07-16,1.230000,1.330000,1.230000,1.320000,1.320000,11190700
2024-07-17,1.290000,1.350000,1.270000,1.340000,1.340000,12738200
2024-07-18,1.340000,1.420000,1.320000,1.360000,1.360000,16479700
2024-07-19,1.360000,1.400000,1.330000,1.380000,1.380000,10593900
2024-07-22,1.390000,1.440000,1.390000,1.430000,1.430000,11601200
2024-07-23,1.430000,1.500000,1.430000,1.490000,1.490000,10012100
2024-07-24,1.620000,1.680000,1.470000,1.520000,1.520000,40639300
2024-07-25,1.490000,1.680000,1.480000,1.640000,1.640000,19088300
2024-07-26,1.690000,1.770000,1.680000,1.770000,1.770000,18386700
2024-07-29,1.800000,1.990000,1.750000,1.940000,1.940000,31081100
2024-07-30,2.020000,3.440000,1.940000,2.670000,2.670000,161091500
2024-07-31,2.590000,3.150000,2.360000,3.150000,3.150000,75766000
2024-08-01,3.270000,4.200000,3.260000,4.130600,4.130600,52773643
